dur,proto,service,state,spkts,sbytes,rate,sttl,sload,sloss,sinpkt,sjit,swin,smean,is_sm_ips_ports,attack_cat,label
1.1e-05,udp,-,INT,2,496,90909.0902,254,180363632.0,0,0.011,0.0,0,248,0,Normal,0
8e-06,udp,-,INT,2,1762,125000.0003,254,881000000.0,0,0.008,0.0,0,881,0,Normal,0
5e-06,udp,-,INT,2,1068,200000.0051,254,854400000.0,0,0.005,0.0,0,534,0,Normal,0
6e-06,udp,-,INT,2,900,166666.6608,254,600000000.0,0,0.006,0.0,0,450,0,Normal,0
1e-05,udp,-,INT,2,2126,100000.0025,254,850400000.0,0,0.01,0.0,0,1063,0,Normal,0
3e-06,udp,-,INT,2,784,333333.3215,254,1045333312.0,0,0.003,0.0,0,392,0,Normal,0
6e-06,udp,-,INT,2,1960,166666.6608,254,1306666624.0,0,0.006,0.0,0,980,0,Normal,0
2.8e-05,udp,-,INT,2,1384,35714.28522,254,197714288.0,0,0.028,0.0,0,692,0,Normal,0
0.0,arp,-,INT,1,46,0.0,0,0.0,0,60000.688,0.0,0,46,1,Normal,0
0.0,arp,-,INT,1,46,0.0,0,0.0,0,60000.712,0.0,0,46,1,Normal,0
0.0,arp,-,INT,1,46,0.0,0,0.0,0,60000.688,0.0,0,46,1,Normal,0
0.0,arp,-,INT,1,46,0.0,0,0.0,0,60000.712,0.0,0,46,1,Normal,0
4e-06,udp,-,INT,2,1454,250000.0006,254,1454000000.0,0,0.004,0.0,0,727,0,Normal,0
7e-06,udp,-,INT,2,2062,142857.1409,254,1178285696.0,0,0.007,0.0,0,1031,0,Normal,0
1.1e-05,udp,-,INT,2,2040,90909.0902,254,741818176.0,0,0.011,0.0,0,1020,0,Normal,0
4e-06,udp,-,INT,2,1052,250000.0006,254,1052000000.0,0,0.004,0.0,0,526,0,Normal,0
3e-06,udp,-,INT,2,314,333333.3215,254,418666656.0,0,0.003,0.0,0,157,0,Normal,0
1e-05,udp,-,INT,2,1774,100000.0025,254,709600000.0,0,0.01,0.0,0,887,0,Normal,0
2e-06,udp,-,INT,2,1568,500000.0013,254,3136000000.0,0,0.002,0.0,0,784,0,Normal,0
4e-06,udp,-,INT,2,2054,250000.0006,254,2054000000.0,0,0.004,0.0,0,1027,0,Normal,0
1e-05,udp,-,INT,2,2170,100000.0025,254,868000000.0,0,0.01,0.0,0,1085,0,Normal,0
9e-06,udp,-,INT,2,202,111111.1072,254,89777776.0,0,0.009,0.0,0,101,0,Normal,0
1e-05,udp,-,INT,2,1334,100000.0025,254,533600000.0,0,0.01,0.0,0,667,0,Normal,0
5e-06,udp,-,INT,2,2058,200000.0051,254,1646400000.0,0,0.005,0.0,0,1029,0,Normal,0
3e-06,udp,-,INT,2,286,333333.3215,254,381333312.0,0,0.003,0.0,0,143,0,Normal,0
7e-06,udp,-,INT,2,1500,142857.1409,254,857142848.0,0,0.007,0.0,0,750,0,Normal,0
6e-06,udp,-,INT,2,902,166666.6608,254,601333312.0,0,0.006,0.0,0,451,0,Normal,0
2e-06,udp,-,INT,2,1626,500000.0013,254,3252000000.0,0,0.002,0.0,0,813,0,Normal,0
7e-06,udp,-,INT,2,364,142857.1409,254,208000000.0,0,0.007,0.0,0,182,0,Normal,0
1.434166,tcp,-,FIN,10,530,10.459041,254,2660.780029,2,151.243111,10042.8699,255,53,0,Normal,0
7e-06,udp,-,INT,2,730,142857.1409,254,417142848.0,0,0.007,0.0,0,365,0,Normal,0
1.924287,tcp,-,FIN,10,530,8.834441,254,1983.072266,2,213.738778,13125.11139,255,53,0,Normal,0
2.773779,tcp,-,FIN,14,7954,7.570899,254,21302.3457,4,213.367611,18158.22943,255,568,0,Normal,0
1e-05,udp,-,INT,2,794,100000.0025,254,317600000.0,0,0.01,0.0,0,397,0,Normal,0
1.465041,tcp,-,FIN,10,2516,11.60377,254,12368.25391,2,157.703444,8764.724091,255,252,0,Normal,0
0.983874,tcp,http,FIN,10,816,17.278635,62,5976.375,2,109.319333,5929.211713,255,82,0,Normal,0
0.714182,tcp,-,FIN,10,534,21.003049,254,5387.982422,2,79.353556,4013.392196,255,53,0,Normal,0
59.995674,arp,-,INT,2,92,0.016668,0,6.133776,0,59998.196,13.651471,0,46,1,Normal,0
59.995678,arp,-,INT,2,92,0.016668,0,6.133775,0,59998.2,0.0,0,46,1,Normal,0
59.995674,arp,-,INT,2,92,0.016668,0,6.133776,0,59998.196,13.651471,0,46,1,Normal,0
1.535254,tcp,http,FIN,10,826,12.375802,62,3876.882812,2,170.481889,11933.0656,255,83,0,Normal,0
59.995678,arp,-,INT,2,92,0.016668,0,6.133775,0,59998.2,0.0,0,46,1,Normal,0
0.757295,tcp,-,FIN,10,534,19.80734,254,5081.243164,2,84.023333,4064.836863,255,53,0,Normal,0
0.759306,tcp,-,FIN,10,534,22.388865,254,5067.785645,2,84.242667,4716.886723,255,53,0,Normal,0
1.294036,tcp,-,FIN,10,2516,13.137192,254,14002.70117,2,143.781778,9390.189727,255,252,0,Normal,0
1.059359,tcp,http,FIN,10,830,16.047441,62,5641.147461,2,117.706556,6102.668305,255,83,0,Normal,0
0.624048,tcp,-,FIN,10,534,24.036613,254,6166.192383,2,69.229667,3412.856309,255,53,0,Normal,0
1.190292,tcp,-,FIN,10,2516,14.28221,254,15223.15527,2,132.107111,8972.551926,255,252,0,Normal,0
0.999472,tcp,-,FIN,10,534,15.007924,254,3850.032715,2,110.960333,6141.458662,255,53,0,Normal,0
0.990548,tcp,http,FIN,10,804,19.181301,62,5847.268066,2,110.060889,7172.956819,255,80,0,Normal,0
0.655618,tcp,-,FIN,10,534,22.879176,254,5869.271484,2,69.326,3518.358106,255,53,0,Normal,0
0.810167,tcp,-,FIN,10,2516,20.983328,254,22365.75781,2,83.946222,5467.042547,255,252,0,Normal,0
14.846565,tcp,-,REQ,22,990,1.414469,254,509.208679,21,706.979312,965.398187,255,45,0,Normal,0
14.846565,tcp,-,REQ,22,990,1.414469,254,509.208679,21,706.979312,965.398187,255,45,0,Normal,0
14.846565,tcp,-,REQ,22,990,1.414469,254,509.208679,21,706.979312,965.398187,255,45,0,Normal,0
1.588788,tcp,-,FIN,10,534,9.441159,254,2421.971924,2,173.193,11388.44841,255,53,0,Normal,0
1.151373,tcp,-,FIN,10,2516,14.76498,254,15737.73145,2,123.646778,8172.13149,255,252,0,Normal,0
14.355273,tcp,-,REQ,20,900,1.323555,254,476.47995,19,755.540687,1095.4585,255,45,0,Normal,0
14.355273,tcp,-,REQ,20,900,1.323555,254,476.47995,19,755.540687,1095.4585,255,45,0,Normal,0
14.355273,tcp,-,REQ,20,900,1.323555,254,476.47995,19,755.540687,1095.4585,255,45,0,Normal,0
15.53235,tcp,-,REQ,20,900,1.223253,254,440.371246,19,817.492125,1294.16175,255,45,0,Normal,0
15.590977,tcp,-,REQ,20,900,1.218654,254,438.715302,19,820.57775,1301.85075,255,45,0,Normal,0
